List Name,Card Name,Description,Labels
Backlog,HU-37 Registrar habilidades tecnicas del postulante,"Como recruiter autenticado, quiero registrar las habilidades tecnicas de un postulante, para identificar sus competencias tecnicas dentro de la ficha del ATS.

Criterios de aceptacion:
- El sistema permite registrar una o mas habilidades tecnicas al crear la ficha del postulante.
- Cada habilidad tecnica debe estar asociada a un hardSkillId existente y activo.
- El sistema permite registrar nivel de dominio, si viene informado.
- El sistema permite registrar anos de experiencia por habilidad, si viene informado.
- Si se informa un hardSkillId inexistente o inactivo, el sistema responde con 400 Bad Request.
- Las habilidades tecnicas quedan asociadas al postulante creado.
- La respuesta del postulante incluye las habilidades tecnicas registradas.

Endpoint relacionado:
POST /api/candidates","Backend,Candidatos"
Backlog,HU-38 Registrar habilidades blandas del postulante,"Como recruiter autenticado, quiero registrar las habilidades blandas de un postulante, para complementar su evaluacion profesional dentro del ATS.

Criterios de aceptacion:
- El sistema permite registrar una o mas habilidades blandas al crear la ficha del postulante.
- Cada habilidad blanda debe estar asociada a un softSkillId existente y activo.
- Si se informa un softSkillId inexistente o inactivo, el sistema responde con 400 Bad Request.
- Las habilidades blandas quedan asociadas al postulante creado.
- La respuesta del postulante incluye las habilidades blandas registradas.

Endpoint relacionado:
POST /api/candidates","Backend,Candidatos"
Backlog,HU-39 Consultar codigos de pais,"Como frontend, quiero consultar los codigos telefonicos de pais activos, para llenar el dropdown de codigo pais en la ficha del postulante.

Criterios de aceptacion:
- Cuando el frontend consulta GET /api/country-codes, el sistema responde con 200 OK.
- El sistema retorna solo codigos de pais activos.
- La respuesta incluye id, countryName, isoCode y phoneCode.
- Los resultados vienen ordenados por orderNumber y nombre de pais.

Endpoint relacionado:
GET /api/country-codes","Backend,Catalogos"
Backlog,HU-40 Consultar rangos de experiencia,"Como frontend, quiero consultar los rangos de experiencia activos, para llenar el dropdown de anos de experiencia en la ficha del postulante.

Criterios de aceptacion:
- Cuando el frontend consulta GET /api/experience-ranges, el sistema responde con 200 OK.
- El sistema retorna solo rangos activos.
- La respuesta incluye id, label, minYears y maxYears.
- Los resultados vienen ordenados por orderNumber.

Endpoint relacionado:
GET /api/experience-ranges","Backend,Catalogos"
Backlog,HU-41 Consultar niveles de estudios,"Como frontend, quiero consultar los niveles de estudios activos, para llenar el dropdown de nivel de estudios en la ficha del postulante.

Criterios de aceptacion:
- Cuando el frontend consulta GET /api/education-levels, el sistema responde con 200 OK.
- El sistema retorna solo niveles de estudio activos.
- La respuesta incluye id y name.
- Los resultados vienen ordenados por orderNumber.

Endpoint relacionado:
GET /api/education-levels","Backend,Catalogos"
Backlog,HU-42 Consultar idiomas,"Como frontend, quiero consultar los idiomas activos, para llenar el dropdown de idiomas en la ficha del postulante.

Criterios de aceptacion:
- Cuando el frontend consulta GET /api/languages, el sistema responde con 200 OK.
- El sistema retorna solo idiomas activos.
- La respuesta incluye id, name e isoCode.
- Los resultados vienen ordenados por nombre.

Endpoint relacionado:
GET /api/languages","Backend,Catalogos"
Backlog,HU-43 Consultar niveles de idioma,"Como frontend, quiero consultar los niveles de idioma activos, para llenar el dropdown de nivel del idioma en la ficha del postulante.

Criterios de aceptacion:
- Cuando el frontend consulta GET /api/language-levels, el sistema responde con 200 OK.
- El sistema retorna solo niveles de idioma activos.
- La respuesta incluye id, code y name.
- Los resultados vienen ordenados por orderNumber.

Endpoint relacionado:
GET /api/language-levels","Backend,Catalogos"
Backlog,HU-44 Subir CV del postulante,"Como recruiter autenticado, quiero subir el CV PDF de un postulante, para mantener su documento curricular asociado a la ficha dentro del ATS.

Criterios de aceptacion:
- Cuando el recruiter envia un archivo valido a POST /api/candidates/{candidateId}/attachments, el sistema guarda el CV y responde con 201 Created.
- El archivo debe enviarse como multipart/form-data.
- El campo del archivo debe llamarse file.
- El sistema valida que el postulante exista.
- El sistema permite unicamente archivos PDF.
- El sistema valida que el archivo no este vacio.
- El sistema valida extension .pdf.
- El sistema valida content type application/pdf.
- El sistema guarda metadata del archivo: nombre, URL o ruta, tipo, tamano, checksum, fecha de carga, recruiter que cargo y estado de parseo.
- El sistema genera checksum SHA-256.
- El sistema deja el CV con estado de parseo inicial PENDING.
- Si el postulante no existe, responde con 404 Not Found.
- Si el archivo no es valido, responde con 400 Bad Request.
- Si ocurre un error al almacenar el archivo, responde con 500 Internal Server Error.
- Si no se envia token o el token es invalido, responde con 401 Unauthorized.
- Si el usuario no tiene permiso RECRUITER_WRITE, responde con 403 Forbidden.

Endpoint relacionado:
POST /api/candidates/{candidateId}/attachments","Backend,Adjuntos"
Backlog,HU-45 Listar adjuntos del postulante,"Como recruiter autenticado, quiero listar los archivos adjuntos de un postulante, para revisar los documentos cargados en su ficha.

Criterios de aceptacion:
- Cuando el recruiter consulta GET /api/candidates/{candidateId}/attachments, el sistema responde con 200 OK.
- El sistema valida que el postulante exista.
- El sistema retorna los archivos asociados al postulante.
- La respuesta incluye id, candidateId, fileName, fileUrl, fileType, fileSize, checksum, uploadedAt, uploadedBy y parseStatus.
- Si el postulante no existe, responde con 404 Not Found.
- Si no se envia token o el token es invalido, responde con 401 Unauthorized.
- Si el usuario no tiene permiso RECRUITER_READ, responde con 403 Forbidden.

Endpoint relacionado:
GET /api/candidates/{candidateId}/attachments","Backend,Adjuntos"
Backlog,HU-46 Consultar ficha completa del postulante,"Como recruiter autenticado, quiero consultar la ficha completa de un postulante, para revisar su informacion personal, profesional, curricular y documentos asociados.

Criterios de aceptacion:
- Cuando el recruiter consulta GET /api/candidates/{id}, el sistema responde con 200 OK.
- El sistema valida que el postulante exista.
- La respuesta incluye datos personales: nombres, apellidos, email, telefono, codigo pais y documento de identidad.
- La respuesta incluye perfil profesional.
- La respuesta incluye estudios.
- La respuesta incluye idiomas.
- La respuesta incluye habilidades tecnicas.
- La respuesta incluye habilidades blandas.
- La respuesta incluye adjuntos.
- Si el postulante no existe, responde con 404 Not Found.
- Si no se envia token o el token es invalido, responde con 401 Unauthorized.
- Si el usuario no tiene permiso RECRUITER_READ, responde con 403 Forbidden.

Endpoint relacionado:
GET /api/candidates/{id}","Backend,Candidatos"
